Sectie,Maand,Primo-registraties,Opnieuw ingeschreven ond.,Schrappingen,Btw-plichtig ond. aan het einde van de maand
"A Landbouw, bosbouw en visserij",Februari 2023,133,25,-166,49768
B Winning van delfstoffen,Februari 2023,0,0,0,211
C Industrie,Februari 2023,353,47,-332,56724
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",Februari 2023,13,3,-8,1369
E Distributie van water/ afval- en afvalwaterbeheer en sanering,Februari 2023,16,0,-8,1845
F Bouwnijverheid,Februari 2023,1377,150,-981,158223
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,Februari 2023,1138,216,-1329,188528
H Vervoer en opslag,Februari 2023,239,27,-220,30378
I Verschaffen van accommodatie en maaltijden,Februari 2023,412,71,-470,63712
J Informatie en communicatie,Februari 2023,544,53,-350,61786
K Financiële activiteiten en verzekeringen,Februari 2023,69,7,-37,9645
L Exploitatie van en handel in onroerend goed,Februari 2023,233,35,-137,34606
M Vrije beroepen en wetenschappelijke en technische activiteiten,Februari 2023,1758,164,-1049,225746
N Administratieve en ondersteunende diensten,Februari 2023,743,74,-477,71765
O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,Februari 2023,3,0,0,930
P Onderwijs,Februari 2023,269,41,-179,26501
Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,Februari 2023,550,31,-243,47999
"R Kunst, amusement en recreatie",Februari 2023,364,40,-239,43636
S Overige diensten,Februari 2023,533,80,-465,75402
T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,Februari 2023,2,0,0,187
U Extraterritoriale organisaties en lichamen,Februari 2023,0,0,0,26
Onbekende economische activiteit,Februari 2023,41,1,-2,348
