Totaal,Niveau 1,Jaar,Trimester,Maand,Inflatie (HICP)
Totaal,6. Gezondheid,2022,2de kwartaal 2022,April 2022,0.015
Totaal,6. Gezondheid,2022,2de kwartaal 2022,Mei 2022,0.017
Totaal,6. Gezondheid,2022,2de kwartaal 2022,Juni 2022,0.019
Totaal,6. Gezondheid,2022,3de kwartaal 2022,Juli 2022,0.02
Totaal,6. Gezondheid,2022,3de kwartaal 2022,Augustus 2022,0.022
Totaal,6. Gezondheid,2022,3de kwartaal 2022,September 2022,0.024
Totaal,6. Gezondheid,2022,4de kwartaal 2022,Oktober 2022,0.025
Totaal,6. Gezondheid,2022,4de kwartaal 2022,November 2022,0.026
Totaal,6. Gezondheid,2022,4de kwartaal 2022,December 2022,0.027
Totaal,6. Gezondheid,2023,1ste kwartaal 2023,Januari 2023,0.048
Totaal,6. Gezondheid,2023,1ste kwartaal 2023,Februari 2023,0.049
Totaal,6. Gezondheid,2023,1ste kwartaal 2023,Maart 2023,0.048
Totaal,7. Vervoer,2022,2de kwartaal 2022,April 2022,0.123
Totaal,7. Vervoer,2022,2de kwartaal 2022,Mei 2022,0.136
Totaal,7. Vervoer,2022,2de kwartaal 2022,Juni 2022,0.163
Totaal,7. Vervoer,2022,3de kwartaal 2022,Juli 2022,0.149
Totaal,7. Vervoer,2022,3de kwartaal 2022,Augustus 2022,0.126
Totaal,7. Vervoer,2022,3de kwartaal 2022,September 2022,0.108
Totaal,7. Vervoer,2022,4de kwartaal 2022,Oktober 2022,0.112
Totaal,7. Vervoer,2022,4de kwartaal 2022,November 2022,0.101
Totaal,7. Vervoer,2022,4de kwartaal 2022,December 2022,0.073
Totaal,7. Vervoer,2023,1ste kwartaal 2023,Januari 2023,0.063
Totaal,7. Vervoer,2023,1ste kwartaal 2023,Februari 2023,0.059
Totaal,7. Vervoer,2023,1ste kwartaal 2023,Maart 2023,0.025
Totaal,8. Communicatie,2022,2de kwartaal 2022,April 2022,0.003
Totaal,8. Communicatie,2022,2de kwartaal 2022,Mei 2022,-0.005
Totaal,8. Communicatie,2022,2de kwartaal 2022,Juni 2022,0.01
Totaal,8. Communicatie,2022,3de kwartaal 2022,Juli 2022,0.014
Totaal,8. Communicatie,2022,3de kwartaal 2022,Augustus 2022,0.016
Totaal,8. Communicatie,2022,3de kwartaal 2022,September 2022,0.012
Totaal,8. Communicatie,2022,4de kwartaal 2022,Oktober 2022,0.004
Totaal,8. Communicatie,2022,4de kwartaal 2022,November 2022,0.003
Totaal,8. Communicatie,2022,4de kwartaal 2022,December 2022,-0.003
Totaal,8. Communicatie,2023,1ste kwartaal 2023,Januari 2023,0.02
Totaal,8. Communicatie,2023,1ste kwartaal 2023,Februari 2023,0.024
Totaal,8. Communicatie,2023,1ste kwartaal 2023,Maart 2023,0.019
Totaal,9. Recreatie en cultuur,2022,2de kwartaal 2022,April 2022,0.033
Totaal,9. Recreatie en cultuur,2022,2de kwartaal 2022,Mei 2022,0.035
Totaal,9. Recreatie en cultuur,2022,2de kwartaal 2022,Juni 2022,0.041
Totaal,9. Recreatie en cultuur,2022,3de kwartaal 2022,Juli 2022,0.036
Totaal,9. Recreatie en cultuur,2022,3de kwartaal 2022,Augustus 2022,0.034
Totaal,9. Recreatie en cultuur,2022,3de kwartaal 2022,September 2022,0.039
Totaal,9. Recreatie en cultuur,2022,4de kwartaal 2022,Oktober 2022,0.043
Totaal,9. Recreatie en cultuur,2022,4de kwartaal 2022,November 2022,0.036
Totaal,9. Recreatie en cultuur,2022,4de kwartaal 2022,December 2022,0.053
Totaal,9. Recreatie en cultuur,2023,1ste kwartaal 2023,Januari 2023,0.051
Totaal,9. Recreatie en cultuur,2023,1ste kwartaal 2023,Februari 2023,0.052
Totaal,9. Recreatie en cultuur,2023,1ste kwartaal 2023,Maart 2023,0.054
Totaal,10. Onderwijs,2022,2de kwartaal 2022,April 2022,0.01
Totaal,10. Onderwijs,2022,2de kwartaal 2022,Mei 2022,0.01
Totaal,10. Onderwijs,2022,2de kwartaal 2022,Juni 2022,0.01
Totaal,10. Onderwijs,2022,3de kwartaal 2022,Juli 2022,0.01
Totaal,10. Onderwijs,2022,3de kwartaal 2022,Augustus 2022,0.01
Totaal,10. Onderwijs,2022,3de kwartaal 2022,September 2022,0.01
Totaal,10. Onderwijs,2022,4de kwartaal 2022,Oktober 2022,0.016
Totaal,10. Onderwijs,2022,4de kwartaal 2022,November 2022,0.016
Totaal,10. Onderwijs,2022,4de kwartaal 2022,December 2022,0.016
Totaal,10. Onderwijs,2023,1ste kwartaal 2023,Januari 2023,0.016
Totaal,10. Onderwijs,2023,1ste kwartaal 2023,Februari 2023,0.016
Totaal,10. Onderwijs,2023,1ste kwartaal 2023,Maart 2023,0.016
Totaal,"11. Hotels, restaurants en cafés",2022,2de kwartaal 2022,April 2022,0.062
Totaal,"11. Hotels, restaurants en cafés",2022,2de kwartaal 2022,Mei 2022,0.063
Totaal,"11. Hotels, restaurants en cafés",2022,2de kwartaal 2022,Juni 2022,0.054
Totaal,"11. Hotels, restaurants en cafés",2022,3de kwartaal 2022,Juli 2022,0.056
Totaal,"11. Hotels, restaurants en cafés",2022,3de kwartaal 2022,Augustus 2022,0.056
Totaal,"11. Hotels, restaurants en cafés",2022,3de kwartaal 2022,September 2022,0.064
Totaal,"11. Hotels, restaurants en cafés",2022,4de kwartaal 2022,Oktober 2022,0.064
Totaal,"11. Hotels, restaurants en cafés",2022,4de kwartaal 2022,November 2022,0.064
Totaal,"11. Hotels, restaurants en cafés",2022,4de kwartaal 2022,December 2022,0.073
Totaal,"11. Hotels, restaurants en cafés",2023,1ste kwartaal 2023,Januari 2023,0.081
Totaal,"11. Hotels, restaurants en cafés",2023,1ste kwartaal 2023,Februari 2023,0.083
Totaal,"11. Hotels, restaurants en cafés",2023,1ste kwartaal 2023,Maart 2023,0.086
Totaal,12. Diverse goederen en diensten,2022,2de kwartaal 2022,April 2022,0.036
Totaal,12. Diverse goederen en diensten,2022,2de kwartaal 2022,Mei 2022,0.036
Totaal,12. Diverse goederen en diensten,2022,2de kwartaal 2022,Juni 2022,0.038
Totaal,12. Diverse goederen en diensten,2022,3de kwartaal 2022,Juli 2022,0.042
Totaal,12. Diverse goederen en diensten,2022,3de kwartaal 2022,Augustus 2022,0.044
Totaal,12. Diverse goederen en diensten,2022,3de kwartaal 2022,September 2022,0.046
Totaal,12. Diverse goederen en diensten,2022,4de kwartaal 2022,Oktober 2022,0.049
Totaal,12. Diverse goederen en diensten,2022,4de kwartaal 2022,November 2022,0.054
Totaal,12. Diverse goederen en diensten,2022,4de kwartaal 2022,December 2022,0.054
Totaal,12. Diverse goederen en diensten,2023,1ste kwartaal 2023,Januari 2023,0.067
Totaal,12. Diverse goederen en diensten,2023,1ste kwartaal 2023,Februari 2023,0.07
Totaal,12. Diverse goederen en diensten,2023,1ste kwartaal 2023,Maart 2023,0.071
Totaal,,2022,2de kwartaal 2022,April 2022,0.093
Totaal,,2022,2de kwartaal 2022,Mei 2022,0.099
Totaal,,2022,2de kwartaal 2022,Juni 2022,0.105
Totaal,,2022,3de kwartaal 2022,Juli 2022,0.104
Totaal,,2022,3de kwartaal 2022,Augustus 2022,0.105
Totaal,,2022,3de kwartaal 2022,September 2022,0.121
Totaal,,2022,4de kwartaal 2022,Oktober 2022,0.131
Totaal,,2022,4de kwartaal 2022,November 2022,0.105
Totaal,,2022,4de kwartaal 2022,December 2022,0.102
Totaal,,2023,1ste kwartaal 2023,Januari 2023,0.074
Totaal,,2023,1ste kwartaal 2023,Februari 2023,0.054
Totaal,,2023,1ste kwartaal 2023,Maart 2023,0.049
