Totaal,Niveau 1,Jaar,Maand,Consumptieprijsindex
Totaal,1. Voedingsmiddelen en dranken,2022,April 2022,116.795
Totaal,1. Voedingsmiddelen en dranken,2022,Mei 2022,117.589
Totaal,1. Voedingsmiddelen en dranken,2022,Juni 2022,119.623
Totaal,1. Voedingsmiddelen en dranken,2022,Juli 2022,121.52
Totaal,1. Voedingsmiddelen en dranken,2022,Augustus 2022,122.703
Totaal,1. Voedingsmiddelen en dranken,2022,September 2022,120.86
Totaal,1. Voedingsmiddelen en dranken,2022,Oktober 2022,124.402
Totaal,1. Voedingsmiddelen en dranken,2022,November 2022,126.285
Totaal,1. Voedingsmiddelen en dranken,2022,December 2022,126.876
Totaal,1. Voedingsmiddelen en dranken,2023,Januari 2023,130.973
Totaal,1. Voedingsmiddelen en dranken,2023,Februari 2023,132.348
Totaal,1. Voedingsmiddelen en dranken,2023,Maart 2023,135.943
Totaal,1. Voedingsmiddelen en dranken,2023,April 2023,137.311
Totaal,Tabak en alcoholhoudende dranken,2022,April 2022,137.967
Totaal,Tabak en alcoholhoudende dranken,2022,Mei 2022,140.966
Totaal,Tabak en alcoholhoudende dranken,2022,Juni 2022,138.948
Totaal,Tabak en alcoholhoudende dranken,2022,Juli 2022,138.206
Totaal,Tabak en alcoholhoudende dranken,2022,Augustus 2022,142.168
Totaal,Tabak en alcoholhoudende dranken,2022,September 2022,148.037
Totaal,Tabak en alcoholhoudende dranken,2022,Oktober 2022,141.135
Totaal,Tabak en alcoholhoudende dranken,2022,November 2022,147.447
Totaal,Tabak en alcoholhoudende dranken,2022,December 2022,144.31
Totaal,Tabak en alcoholhoudende dranken,2023,Januari 2023,142.92
Totaal,Tabak en alcoholhoudende dranken,2023,Februari 2023,150.575
Totaal,Tabak en alcoholhoudende dranken,2023,Maart 2023,145.691
Totaal,Tabak en alcoholhoudende dranken,2023,April 2023,148.12
Totaal,3. Kleding en schoeisel,2022,April 2022,104.964
Totaal,3. Kleding en schoeisel,2022,Mei 2022,104.361
Totaal,3. Kleding en schoeisel,2022,Juni 2022,103.645
Totaal,3. Kleding en schoeisel,2022,Juli 2022,103.66
Totaal,3. Kleding en schoeisel,2022,Augustus 2022,105.074
Totaal,3. Kleding en schoeisel,2022,September 2022,108.383
Totaal,3. Kleding en schoeisel,2022,Oktober 2022,109.984
Totaal,3. Kleding en schoeisel,2022,November 2022,112.01
Totaal,3. Kleding en schoeisel,2022,December 2022,112.819
Totaal,3. Kleding en schoeisel,2023,Januari 2023,112.842
Totaal,3. Kleding en schoeisel,2023,Februari 2023,111.754
Totaal,3. Kleding en schoeisel,2023,Maart 2023,112.716
Totaal,3. Kleding en schoeisel,2023,April 2023,112.891
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,April 2022,135.485
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,Mei 2022,137.034
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,Juni 2022,137.156
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,Juli 2022,138.089
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,Augustus 2022,142.609
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,September 2022,150.883
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,Oktober 2022,161.488
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,November 2022,154.012
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,December 2022,152.965
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2023,Januari 2023,144.519
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2023,Februari 2023,135.427
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2023,Maart 2023,134.257
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2023,April 2023,126.36
Totaal,"5. Stoffering, huishoudelijke apparaten en dagelijks onderhoud van de woning",2022,April 2022,111.023
Totaal,"5. Stoffering, huishoudelijke apparaten en dagelijks onderhoud van de woning",2022,Mei 2022,111.453
