Totaal,Niveau 1,Jaar,Maand,Inflatie
Totaal,7. Vervoer,2022,Oktober 2022,0.107
Totaal,7. Vervoer,2022,November 2022,0.1
Totaal,7. Vervoer,2022,December 2022,0.081
Totaal,7. Vervoer,2023,Januari 2023,0.074
Totaal,7. Vervoer,2023,Februari 2023,0.07
Totaal,7. Vervoer,2023,Maart 2023,0.043
Totaal,7. Vervoer,2023,April 2023,0.052
Totaal,8. Communicatie,2022,Juni 2022,0.006
Totaal,8. Communicatie,2022,Juli 2022,0.011
Totaal,8. Communicatie,2022,Augustus 2022,0.012
Totaal,8. Communicatie,2022,September 2022,0.008
Totaal,8. Communicatie,2022,Oktober 2022,0.001
Totaal,8. Communicatie,2022,November 2022,0.002
Totaal,8. Communicatie,2022,December 2022,-0.006
Totaal,8. Communicatie,2023,Januari 2023,0.018
Totaal,8. Communicatie,2023,Februari 2023,0.021
Totaal,8. Communicatie,2023,Maart 2023,0.018
Totaal,8. Communicatie,2023,April 2023,0.029
Totaal,9. Recreatie en cultuur,2022,Juni 2022,0.049
Totaal,9. Recreatie en cultuur,2022,Juli 2022,0.04
Totaal,9. Recreatie en cultuur,2022,Augustus 2022,0.041
Totaal,9. Recreatie en cultuur,2022,September 2022,0.049
Totaal,9. Recreatie en cultuur,2022,Oktober 2022,0.051
Totaal,9. Recreatie en cultuur,2022,November 2022,0.058
Totaal,9. Recreatie en cultuur,2022,December 2022,0.069
Totaal,9. Recreatie en cultuur,2023,Januari 2023,0.071
Totaal,9. Recreatie en cultuur,2023,Februari 2023,0.073
Totaal,9. Recreatie en cultuur,2023,Maart 2023,0.082
Totaal,9. Recreatie en cultuur,2023,April 2023,0.069
Totaal,10. Onderwijs,2022,Juni 2022,0.01
Totaal,10. Onderwijs,2022,Juli 2022,0.01
Totaal,10. Onderwijs,2022,Augustus 2022,0.01
Totaal,10. Onderwijs,2022,September 2022,0.01
Totaal,10. Onderwijs,2022,Oktober 2022,0.016
Totaal,10. Onderwijs,2022,November 2022,0.016
Totaal,10. Onderwijs,2022,December 2022,0.016
Totaal,10. Onderwijs,2023,Januari 2023,0.016
Totaal,10. Onderwijs,2023,Februari 2023,0.016
Totaal,10. Onderwijs,2023,Maart 2023,0.016
Totaal,10. Onderwijs,2023,April 2023,0.016
Totaal,"11. Hotels, cafés en restaurants",2022,Juni 2022,0.063
Totaal,"11. Hotels, cafés en restaurants",2022,Juli 2022,0.058
Totaal,"11. Hotels, cafés en restaurants",2022,Augustus 2022,0.058
Totaal,"11. Hotels, cafés en restaurants",2022,September 2022,0.073
Totaal,"11. Hotels, cafés en restaurants",2022,Oktober 2022,0.069
Totaal,"11. Hotels, cafés en restaurants",2022,November 2022,0.069
Totaal,"11. Hotels, cafés en restaurants",2022,December 2022,0.075
Totaal,"11. Hotels, cafés en restaurants",2023,Januari 2023,0.084
Totaal,"11. Hotels, cafés en restaurants",2023,Februari 2023,0.085
Totaal,"11. Hotels, cafés en restaurants",2023,Maart 2023,0.09
Totaal,"11. Hotels, cafés en restaurants",2023,April 2023,0.085
Totaal,12. Diverse goederen en diensten,2022,Juni 2022,0.046
Totaal,12. Diverse goederen en diensten,2022,Juli 2022,0.05
Totaal,12. Diverse goederen en diensten,2022,Augustus 2022,0.052
Totaal,12. Diverse goederen en diensten,2022,September 2022,0.052
Totaal,12. Diverse goederen en diensten,2022,Oktober 2022,0.056
Totaal,12. Diverse goederen en diensten,2022,November 2022,0.061
Totaal,12. Diverse goederen en diensten,2022,December 2022,0.059
Totaal,12. Diverse goederen en diensten,2023,Januari 2023,0.073
Totaal,12. Diverse goederen en diensten,2023,Februari 2023,0.075
Totaal,12. Diverse goederen en diensten,2023,Maart 2023,0.078
Totaal,12. Diverse goederen en diensten,2023,April 2023,0.07
Totaal,,2022,Juni 2022,0.096
Totaal,,2022,Juli 2022,0.096
Totaal,,2022,Augustus 2022,0.099
Totaal,,2022,September 2022,0.113
Totaal,,2022,Oktober 2022,0.123
Totaal,,2022,November 2022,0.106
Totaal,,2022,December 2022,0.104
Totaal,,2023,Januari 2023,0.08
Totaal,,2023,Februari 2023,0.066
Totaal,,2023,Maart 2023,0.067
Totaal,,2023,April 2023,0.056
