Totaal,Onderwijsniveau,Kwartaal,Werkgelegenheidsgraad,Werkloosheidsgraad
Totaal,Laag,4de kwartaal 2022,0.367,0.114
Totaal,Midden,4de kwartaal 2022,0.644,0.065
Totaal,Hoog,4de kwartaal 2022,0.849,0.037
Totaal,,4de kwartaal 2022,0.668,0.057
