Soort zuivelproduct,Vervaardigd product,Jaar,Maand,Hoeveelheid  product
Consumptiemelk (in l),Karnemelk (gesuikerd inbegrepen),2022,Juni 2022,2205920.0
Consumptiemelk (in l),Karnemelk (gesuikerd inbegrepen),2022,Juli 2022,2210569.0
Consumptiemelk (in l),Karnemelk (gesuikerd inbegrepen),2022,Augustus 2022,1984070.0
Consumptiemelk (in l),Karnemelk (gesuikerd inbegrepen),2022,September 2022,1721327.0
Consumptiemelk (in l),Karnemelk (gesuikerd inbegrepen),2022,Oktober 2022,1503967.0
Consumptiemelk (in l),Karnemelk (gesuikerd inbegrepen),2022,November 2022,1665815.0
Consumptiemelk (in l),Karnemelk (gesuikerd inbegrepen),2022,December 2022,1198796.0
Consumptiemelk (in l),Karnemelk (gesuikerd inbegrepen),2023,Januari 2023,
Melkdranken (in l),Chocolademelk,2022,Januari 2022,15419865.0
Melkdranken (in l),Chocolademelk,2022,Februari 2022,11382151.0
Melkdranken (in l),Chocolademelk,2022,Maart 2022,13585243.0
Melkdranken (in l),Chocolademelk,2022,April 2022,11298460.0
Melkdranken (in l),Chocolademelk,2022,Mei 2022,10726698.0
Melkdranken (in l),Chocolademelk,2022,Juni 2022,10216549.0
Melkdranken (in l),Chocolademelk,2022,Juli 2022,9927943.0
Melkdranken (in l),Chocolademelk,2022,Augustus 2022,13131620.0
Melkdranken (in l),Chocolademelk,2022,September 2022,14261192.0
Melkdranken (in l),Chocolademelk,2022,Oktober 2022,15203439.0
Melkdranken (in l),Chocolademelk,2022,November 2022,15092856.0
Melkdranken (in l),Chocolademelk,2022,December 2022,13004912.0
Melkdranken (in l),Chocolademelk,2023,Januari 2023,
Melkdranken (in l),Andere melk en melkdranken,2022,Januari 2022,1969918.0
Melkdranken (in l),Andere melk en melkdranken,2022,Februari 2022,1538000.0
Melkdranken (in l),Andere melk en melkdranken,2022,Maart 2022,2003808.0
Melkdranken (in l),Andere melk en melkdranken,2022,April 2022,2135448.0
Melkdranken (in l),Andere melk en melkdranken,2022,Mei 2022,1501949.0
Melkdranken (in l),Andere melk en melkdranken,2022,Juni 2022,1570342.0
Melkdranken (in l),Andere melk en melkdranken,2022,Juli 2022,1190839.0
Melkdranken (in l),Andere melk en melkdranken,2022,Augustus 2022,1613436.0
Melkdranken (in l),Andere melk en melkdranken,2022,September 2022,1420517.0
Melkdranken (in l),Andere melk en melkdranken,2022,Oktober 2022,1280108.0
Melkdranken (in l),Andere melk en melkdranken,2022,November 2022,1235628.0
Melkdranken (in l),Andere melk en melkdranken,2022,December 2022,1085984.0
Melkdranken (in l),Andere melk en melkdranken,2023,Januari 2023,
Melkdranken (in l),Mengsel van melk en plantaardige vetten,2022,Januari 2022,
Melkdranken (in l),Mengsel van melk en plantaardige vetten,2022,Februari 2022,
Melkdranken (in l),Mengsel van melk en plantaardige vetten,2022,Maart 2022,
Melkdranken (in l),Mengsel van melk en plantaardige vetten,2022,April 2022,
Melkdranken (in l),Mengsel van melk en plantaardige vetten,2022,Mei 2022,
Melkdranken (in l),Mengsel van melk en plantaardige vetten,2022,Juni 2022,
Melkdranken (in l),Mengsel van melk en plantaardige vetten,2022,Juli 2022,
Melkdranken (in l),Mengsel van melk en plantaardige vetten,2022,Augustus 2022,
Melkdranken (in l),Mengsel van melk en plantaardige vetten,2022,September 2022,
Melkdranken (in l),Mengsel van melk en plantaardige vetten,2022,Oktober 2022,
Melkdranken (in l),Mengsel van melk en plantaardige vetten,2022,November 2022,
Melkdranken (in l),Mengsel van melk en plantaardige vetten,2022,December 2022,
Melkdranken (in l),Mengsel van melk en plantaardige vetten,2023,Januari 2023,
Verse zuivelproducten (in l),Room met een melkvetgehalte : hoger dan 29 %,2022,Januari 2022,9986224.0
Verse zuivelproducten (in l),Room met een melkvetgehalte : hoger dan 29 %,2022,Februari 2022,9170996.0
Verse zuivelproducten (in l),Room met een melkvetgehalte : hoger dan 29 %,2022,Maart 2022,11307252.0
Verse zuivelproducten (in l),Room met een melkvetgehalte : hoger dan 29 %,2022,April 2022,10546776.0
Verse zuivelproducten (in l),Room met een melkvetgehalte : hoger dan 29 %,2022,Mei 2022,11684061.0
Verse zuivelproducten (in l),Room met een melkvetgehalte : hoger dan 29 %,2022,Juni 2022,11132298.0
Verse zuivelproducten (in l),Room met een melkvetgehalte : hoger dan 29 %,2022,Juli 2022,10221855.0
Verse zuivelproducten (in l),Room met een melkvetgehalte : hoger dan 29 %,2022,Augustus 2022,11759398.0
Verse zuivelproducten (in l),Room met een melkvetgehalte : hoger dan 29 %,2022,September 2022,10937361.0
Verse zuivelproducten (in l),Room met een melkvetgehalte : hoger dan 29 %,2022,Oktober 2022,9592597.0
Verse zuivelproducten (in l),Room met een melkvetgehalte : hoger dan 29 %,2022,November 2022,10104047.0
Verse zuivelproducten (in l),Room met een melkvetgehalte : hoger dan 29 %,2022,December 2022,8895705.0
Verse zuivelproducten (in l),Room met een melkvetgehalte : hoger dan 29 %,2023,Januari 2023,
Verse zuivelproducten (in l),Room met een melkvetgehalte: lager dan of gelijk aan 29 %,2022,Januari 2022,10026448.0
Verse zuivelproducten (in l),Room met een melkvetgehalte: lager dan of gelijk aan 29 %,2022,Februari 2022,10663339.0
Verse zuivelproducten (in l),Room met een melkvetgehalte: lager dan of gelijk aan 29 %,2022,Maart 2022,12416204.0
Verse zuivelproducten (in l),Room met een melkvetgehalte: lager dan of gelijk aan 29 %,2022,April 2022,11256463.0
Verse zuivelproducten (in l),Room met een melkvetgehalte: lager dan of gelijk aan 29 %,2022,Mei 2022,11779247.0
Verse zuivelproducten (in l),Room met een melkvetgehalte: lager dan of gelijk aan 29 %,2022,Juni 2022,11140755.0
Verse zuivelproducten (in l),Room met een melkvetgehalte: lager dan of gelijk aan 29 %,2022,Juli 2022,10672370.0
Verse zuivelproducten (in l),Room met een melkvetgehalte: lager dan of gelijk aan 29 %,2022,Augustus 2022,10878612.0
Verse zuivelproducten (in l),Room met een melkvetgehalte: lager dan of gelijk aan 29 %,2022,September 2022,11891551.0
Verse zuivelproducten (in l),Room met een melkvetgehalte: lager dan of gelijk aan 29 %,2022,Oktober 2022,10216358.0
Verse zuivelproducten (in l),Room met een melkvetgehalte: lager dan of gelijk aan 29 %,2022,November 2022,10235443.0
Verse zuivelproducten (in l),Room met een melkvetgehalte: lager dan of gelijk aan 29 %,2022,December 2022,10415672.0
Verse zuivelproducten (in l),Room met een melkvetgehalte: lager dan of gelijk aan 29 %,2023,Januari 2023,
Verse zuivelproducten (in l),"Bereidingen op basis van room (sauzen, ...)",2022,Januari 2022,174147.0
Verse zuivelproducten (in l),"Bereidingen op basis van room (sauzen, ...)",2022,Februari 2022,141226.0
Verse zuivelproducten (in l),"Bereidingen op basis van room (sauzen, ...)",2022,Maart 2022,135553.0
Verse zuivelproducten (in l),"Bereidingen op basis van room (sauzen, ...)",2022,April 2022,209296.0
Verse zuivelproducten (in l),"Bereidingen op basis van room (sauzen, ...)",2022,Mei 2022,194030.0
Verse zuivelproducten (in l),"Bereidingen op basis van room (sauzen, ...)",2022,Juni 2022,143671.0
Verse zuivelproducten (in l),"Bereidingen op basis van room (sauzen, ...)",2022,Juli 2022,285102.0
Verse zuivelproducten (in l),"Bereidingen op basis van room (sauzen, ...)",2022,Augustus 2022,226749.0
Verse zuivelproducten (in l),"Bereidingen op basis van room (sauzen, ...)",2022,September 2022,215799.0
Verse zuivelproducten (in l),"Bereidingen op basis van room (sauzen, ...)",2022,Oktober 2022,345081.0
Verse zuivelproducten (in l),"Bereidingen op basis van room (sauzen, ...)",2022,November 2022,115155.0
Verse zuivelproducten (in l),"Bereidingen op basis van room (sauzen, ...)",2022,December 2022,140121.0
Verse zuivelproducten (in l),"Bereidingen op basis van room (sauzen, ...)",2023,Januari 2023,
Verse zuivelproducten (in l),Yoghurt,2022,Januari 2022,4487472.0
Verse zuivelproducten (in l),Yoghurt,2022,Februari 2022,3708180.0
