Jaar/Maand,Dag,Productgroep,Product,Prijs incl. BTW
apr23,14apr23,Propaan,propaan (in bulk) (minder dan 2000 l) (€/L),0.85
apr23,14apr23,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.714
apr23,14apr23,Butaan + LPG,Autogas LPG (minder dan 2000 l) (€/L),0.856
apr23,14apr23,Butaan + LPG,Autogas LPG (vanaf 2000 l) (€/L),0.773
apr23,14apr23,Stookolie,Extra zware stookolie met 1 % S (per tankwagen) (€/T),609.2
apr23,15apr23,Benzines,Benzine 95 RON E5 (€/L),1.844
apr23,15apr23,Benzines,Benzine 95 RON E10 (€/L),1.834
apr23,15apr23,Benzines,Benzine 98 RON E5 (€/L),2.002
apr23,15apr23,Benzines,Benzine 98 RON E10 (€/L),1.989
apr23,15apr23,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.816
apr23,15apr23,Gasolie Diesel wegvervoer,Diesel B10 (€/L),1.804
apr23,15apr23,Gasolie Diesel wegvervoer,Diesel B20 (€/L),1.818
apr23,15apr23,Gasolie Diesel wegvervoer,Diesel B30 (€/L),1.854
apr23,15apr23,Gasolie Diesel wegvervoer,Diesel XTL (€/L),2.556
apr23,15apr23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),0.91
apr23,15apr23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),0.948
apr23,15apr23,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (vanaf 2000 l) (€/L),0.887
apr23,15apr23,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (minder dan 2000 l) (€/L),0.925
apr23,15apr23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (vanaf 2000 l) (€/L),0.915
apr23,15apr23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (minder dan 2000 l) (€/L),0.953
apr23,15apr23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (aan de pomp) (€/L),1.059
apr23,15apr23,Gasolie verwarming,Gasolie verwarming 50S (vanaf 2000 l) (€/L),0.901
apr23,15apr23,Gasolie verwarming,Gasolie verwarming 50S (minder dan 2000 l) (€/L),0.939
apr23,15apr23,Gasolie verwarming,Gasolie verwarming 50S (aan de pomp) (€/L),1.05
apr23,15apr23,Lamppetroleum,lamppetroleum (type B) (minder dan 2000 l) (€/L),1.005
apr23,15apr23,Lamppetroleum,lamppetroleum (type B) (vanaf 2000 l) (€/L),0.967
apr23,15apr23,Lamppetroleum,lamppetroleum (type B) (aan de pomp) (€/L),1.113
apr23,15apr23,Lamppetroleum,lamppetroleum (type C) (minder dan 2000 l) (€/L),1.041
apr23,15apr23,Lamppetroleum,lamppetroleum (type C) (vanaf 2000 l) (€/L),1.004
apr23,15apr23,Lamppetroleum,lamppetroleum (type C) (aan de pomp) (€/L),1.15
apr23,15apr23,Propaan,propaan (in bulk) (vanaf 2000 l) (€/L),0.766
apr23,15apr23,Propaan,propaan (in bulk) (minder dan 2000 l) (€/L),0.85
apr23,15apr23,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.714
apr23,15apr23,Butaan + LPG,Autogas LPG (minder dan 2000 l) (€/L),0.856
apr23,15apr23,Butaan + LPG,Autogas LPG (vanaf 2000 l) (€/L),0.773
apr23,15apr23,Stookolie,Extra zware stookolie met 1 % S (per tankwagen) (€/T),609.2
apr23,16apr23,Benzines,Benzine 95 RON E5 (€/L),1.844
apr23,16apr23,Benzines,Benzine 95 RON E10 (€/L),1.834
apr23,16apr23,Benzines,Benzine 98 RON E5 (€/L),2.002
apr23,16apr23,Benzines,Benzine 98 RON E10 (€/L),1.989
apr23,16apr23,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.816
apr23,16apr23,Gasolie Diesel wegvervoer,Diesel B10 (€/L),1.804
apr23,16apr23,Gasolie Diesel wegvervoer,Diesel B20 (€/L),1.818
apr23,16apr23,Gasolie Diesel wegvervoer,Diesel B30 (€/L),1.854
apr23,16apr23,Gasolie Diesel wegvervoer,Diesel XTL (€/L),2.556
apr23,16apr23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),0.91
apr23,16apr23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),0.948
apr23,16apr23,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (vanaf 2000 l) (€/L),0.887
apr23,16apr23,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (minder dan 2000 l) (€/L),0.925
apr23,16apr23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (vanaf 2000 l) (€/L),0.915
apr23,16apr23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (minder dan 2000 l) (€/L),0.953
apr23,16apr23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (aan de pomp) (€/L),1.059
apr23,16apr23,Gasolie verwarming,Gasolie verwarming 50S (vanaf 2000 l) (€/L),0.901
apr23,16apr23,Gasolie verwarming,Gasolie verwarming 50S (minder dan 2000 l) (€/L),0.939
apr23,16apr23,Gasolie verwarming,Gasolie verwarming 50S (aan de pomp) (€/L),1.05
apr23,16apr23,Lamppetroleum,lamppetroleum (type B) (minder dan 2000 l) (€/L),1.005
apr23,16apr23,Lamppetroleum,lamppetroleum (type B) (vanaf 2000 l) (€/L),0.967
apr23,16apr23,Lamppetroleum,lamppetroleum (type B) (aan de pomp) (€/L),1.113
apr23,16apr23,Lamppetroleum,lamppetroleum (type C) (minder dan 2000 l) (€/L),1.041
apr23,16apr23,Lamppetroleum,lamppetroleum (type C) (vanaf 2000 l) (€/L),1.004
apr23,16apr23,Lamppetroleum,lamppetroleum (type C) (aan de pomp) (€/L),1.15
apr23,16apr23,Propaan,propaan (in bulk) (vanaf 2000 l) (€/L),0.766
apr23,16apr23,Propaan,propaan (in bulk) (minder dan 2000 l) (€/L),0.85
apr23,16apr23,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.714
apr23,16apr23,Butaan + LPG,Autogas LPG (minder dan 2000 l) (€/L),0.856
apr23,16apr23,Butaan + LPG,Autogas LPG (vanaf 2000 l) (€/L),0.773
apr23,16apr23,Stookolie,Extra zware stookolie met 1 % S (per tankwagen) (€/T),609.2
apr23,17apr23,Benzines,Benzine 95 RON E5 (€/L),1.844
apr23,17apr23,Benzines,Benzine 95 RON E10 (€/L),1.834
apr23,17apr23,Benzines,Benzine 98 RON E5 (€/L),2.002
apr23,17apr23,Benzines,Benzine 98 RON E10 (€/L),1.989
apr23,17apr23,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.816
apr23,17apr23,Gasolie Diesel wegvervoer,Diesel B10 (€/L),1.804
apr23,17apr23,Gasolie Diesel wegvervoer,Diesel B20 (€/L),1.818
apr23,17apr23,Gasolie Diesel wegvervoer,Diesel B30 (€/L),1.854
apr23,17apr23,Gasolie Diesel wegvervoer,Diesel XTL (€/L),2.556
apr23,17apr23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),0.91
apr23,17apr23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),0.948
apr23,17apr23,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (vanaf 2000 l) (€/L),0.887
apr23,17apr23,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (minder dan 2000 l) (€/L),0.925
apr23,17apr23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (vanaf 2000 l) (€/L),0.915
apr23,17apr23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (minder dan 2000 l) (€/L),0.953
apr23,17apr23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (aan de pomp) (€/L),1.059
apr23,17apr23,Gasolie verwarming,Gasolie verwarming 50S (vanaf 2000 l) (€/L),0.901
apr23,17apr23,Gasolie verwarming,Gasolie verwarming 50S (minder dan 2000 l) (€/L),0.939
apr23,17apr23,Gasolie verwarming,Gasolie verwarming 50S (aan de pomp) (€/L),1.05
apr23,17apr23,Lamppetroleum,lamppetroleum (type B) (minder dan 2000 l) (€/L),1.005
apr23,17apr23,Lamppetroleum,lamppetroleum (type B) (vanaf 2000 l) (€/L),0.967
apr23,17apr23,Lamppetroleum,lamppetroleum (type B) (aan de pomp) (€/L),1.113
apr23,17apr23,Lamppetroleum,lamppetroleum (type C) (minder dan 2000 l) (€/L),1.041
apr23,17apr23,Lamppetroleum,lamppetroleum (type C) (vanaf 2000 l) (€/L),1.004
apr23,17apr23,Lamppetroleum,lamppetroleum (type C) (aan de pomp) (€/L),1.15
apr23,17apr23,Propaan,propaan (in bulk) (vanaf 2000 l) (€/L),0.766
apr23,17apr23,Propaan,propaan (in bulk) (minder dan 2000 l) (€/L),0.85
apr23,17apr23,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.714
apr23,17apr23,Butaan + LPG,Autogas LPG (minder dan 2000 l) (€/L),0.856
apr23,17apr23,Butaan + LPG,Autogas LPG (vanaf 2000 l) (€/L),0.773
apr23,17apr23,Stookolie,Extra zware stookolie met 1 % S (per tankwagen) (€/T),609.2
apr23,18apr23,Benzines,Benzine 95 RON E5 (€/L),1.844
apr23,18apr23,Benzines,Benzine 95 RON E10 (€/L),1.834
apr23,18apr23,Benzines,Benzine 98 RON E5 (€/L),2.002
apr23,18apr23,Benzines,Benzine 98 RON E10 (€/L),1.989
apr23,18apr23,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.784
apr23,18apr23,Gasolie Diesel wegvervoer,Diesel B10 (€/L),1.768
apr23,18apr23,Gasolie Diesel wegvervoer,Diesel B20 (€/L),1.777
apr23,18apr23,Gasolie Diesel wegvervoer,Diesel B30 (€/L),1.804
apr23,18apr23,Gasolie Diesel wegvervoer,Diesel XTL (€/L),2.577
apr23,18apr23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),0.897
apr23,18apr23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),0.934
apr23,18apr23,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (vanaf 2000 l) (€/L),0.874
apr23,18apr23,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (minder dan 2000 l) (€/L),0.911
apr23,18apr23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (vanaf 2000 l) (€/L),0.901
apr23,18apr23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (minder dan 2000 l) (€/L),0.939
apr23,18apr23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (aan de pomp) (€/L),1.045
apr23,18apr23,Gasolie verwarming,Gasolie verwarming 50S (vanaf 2000 l) (€/L),0.889
apr23,18apr23,Gasolie verwarming,Gasolie verwarming 50S (minder dan 2000 l) (€/L),0.927
apr23,18apr23,Gasolie verwarming,Gasolie verwarming 50S (aan de pomp) (€/L),1.038
apr23,18apr23,Lamppetroleum,lamppetroleum (type B) (minder dan 2000 l) (€/L),1.005
apr23,18apr23,Lamppetroleum,lamppetroleum (type B) (vanaf 2000 l) (€/L),0.967
apr23,18apr23,Lamppetroleum,lamppetroleum (type B) (aan de pomp) (€/L),1.113
apr23,18apr23,Lamppetroleum,lamppetroleum (type C) (minder dan 2000 l) (€/L),1.041
apr23,18apr23,Lamppetroleum,lamppetroleum (type C) (vanaf 2000 l) (€/L),1.004
apr23,18apr23,Lamppetroleum,lamppetroleum (type C) (aan de pomp) (€/L),1.15
apr23,18apr23,Propaan,propaan (in bulk) (vanaf 2000 l) (€/L),0.766
apr23,18apr23,Propaan,propaan (in bulk) (minder dan 2000 l) (€/L),0.85
apr23,18apr23,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.714
apr23,18apr23,Butaan + LPG,Autogas LPG (minder dan 2000 l) (€/L),0.856
apr23,18apr23,Butaan + LPG,Autogas LPG (vanaf 2000 l) (€/L),0.773
apr23,18apr23,Stookolie,Extra zware stookolie met 1 % S (per tankwagen) (€/T),609.2
apr23,19apr23,Benzines,Benzine 95 RON E5 (€/L),1.844
apr23,19apr23,Benzines,Benzine 95 RON E10 (€/L),1.834
apr23,19apr23,Benzines,Benzine 98 RON E5 (€/L),2.002
apr23,19apr23,Benzines,Benzine 98 RON E10 (€/L),1.989
apr23,19apr23,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.784
apr23,19apr23,Gasolie Diesel wegvervoer,Diesel B10 (€/L),1.768
apr23,19apr23,Gasolie Diesel wegvervoer,Diesel B20 (€/L),1.777
apr23,19apr23,Gasolie Diesel wegvervoer,Diesel B30 (€/L),1.804
apr23,19apr23,Gasolie Diesel wegvervoer,Diesel XTL (€/L),2.577
apr23,19apr23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),0.887
apr23,19apr23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),0.924
apr23,19apr23,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (vanaf 2000 l) (€/L),0.864
apr23,19apr23,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (minder dan 2000 l) (€/L),0.902
apr23,19apr23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (vanaf 2000 l) (€/L),0.892
apr23,19apr23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (minder dan 2000 l) (€/L),0.929
apr23,19apr23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (aan de pomp) (€/L),1.035
apr23,19apr23,Gasolie verwarming,Gasolie verwarming 50S (vanaf 2000 l) (€/L),0.88
apr23,19apr23,Gasolie verwarming,Gasolie verwarming 50S (minder dan 2000 l) (€/L),0.918
apr23,19apr23,Gasolie verwarming,Gasolie verwarming 50S (aan de pomp) (€/L),1.029
apr23,19apr23,Lamppetroleum,lamppetroleum (type B) (minder dan 2000 l) (€/L),1.005
apr23,19apr23,Lamppetroleum,lamppetroleum (type B) (vanaf 2000 l) (€/L),0.967
apr23,19apr23,Lamppetroleum,lamppetroleum (type B) (aan de pomp) (€/L),1.113
apr23,19apr23,Lamppetroleum,lamppetroleum (type C) (minder dan 2000 l) (€/L),1.041
apr23,19apr23,Lamppetroleum,lamppetroleum (type C) (vanaf 2000 l) (€/L),1.004
apr23,19apr23,Lamppetroleum,lamppetroleum (type C) (aan de pomp) (€/L),1.15
apr23,19apr23,Propaan,propaan (in bulk) (vanaf 2000 l) (€/L),0.742
apr23,19apr23,Propaan,propaan (in bulk) (minder dan 2000 l) (€/L),0.826
apr23,19apr23,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.684
apr23,19apr23,Butaan + LPG,Autogas LPG (minder dan 2000 l) (€/L),0.827
apr23,19apr23,Butaan + LPG,Autogas LPG (vanaf 2000 l) (€/L),0.743
apr23,19apr23,Stookolie,Extra zware stookolie met 1 % S (per tankwagen) (€/T),600.61
apr23,20apr23,Benzines,Benzine 95 RON E5 (€/L),1.844
apr23,20apr23,Benzines,Benzine 95 RON E10 (€/L),1.834
apr23,20apr23,Benzines,Benzine 98 RON E5 (€/L),2.002
apr23,20apr23,Benzines,Benzine 98 RON E10 (€/L),1.989
apr23,20apr23,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.784
apr23,20apr23,Gasolie Diesel wegvervoer,Diesel B10 (€/L),1.768
apr23,20apr23,Gasolie Diesel wegvervoer,Diesel B20 (€/L),1.777
apr23,20apr23,Gasolie Diesel wegvervoer,Diesel B30 (€/L),1.804
apr23,20apr23,Gasolie Diesel wegvervoer,Diesel XTL (€/L),2.577
apr23,20apr23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),0.889
apr23,20apr23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),0.927
apr23,20apr23,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (vanaf 2000 l) (€/L),0.866
apr23,20apr23,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (minder dan 2000 l) (€/L),0.904
apr23,20apr23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (vanaf 2000 l) (€/L),0.894
apr23,20apr23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (minder dan 2000 l) (€/L),0.931
apr23,20apr23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (aan de pomp) (€/L),1.038
apr23,20apr23,Gasolie verwarming,Gasolie verwarming 50S (vanaf 2000 l) (€/L),0.882
apr23,20apr23,Gasolie verwarming,Gasolie verwarming 50S (minder dan 2000 l) (€/L),0.92
apr23,20apr23,Gasolie verwarming,Gasolie verwarming 50S (aan de pomp) (€/L),1.031
apr23,20apr23,Lamppetroleum,lamppetroleum (type B) (minder dan 2000 l) (€/L),1.005
apr23,20apr23,Lamppetroleum,lamppetroleum (type B) (vanaf 2000 l) (€/L),0.967
apr23,20apr23,Lamppetroleum,lamppetroleum (type B) (aan de pomp) (€/L),1.113
apr23,20apr23,Lamppetroleum,lamppetroleum (type C) (minder dan 2000 l) (€/L),1.041
apr23,20apr23,Lamppetroleum,lamppetroleum (type C) (vanaf 2000 l) (€/L),1.004
apr23,20apr23,Lamppetroleum,lamppetroleum (type C) (aan de pomp) (€/L),1.15
apr23,20apr23,Propaan,propaan (in bulk) (vanaf 2000 l) (€/L),0.742
apr23,20apr23,Propaan,propaan (in bulk) (minder dan 2000 l) (€/L),0.826
apr23,20apr23,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.684
apr23,20apr23,Butaan + LPG,Autogas LPG (minder dan 2000 l) (€/L),0.827
apr23,20apr23,Butaan + LPG,Autogas LPG (vanaf 2000 l) (€/L),0.743
apr23,20apr23,Stookolie,Extra zware stookolie met 1 % S (per tankwagen) (€/T),600.61
apr23,21apr23,Benzines,Benzine 95 RON E5 (€/L),1.81
apr23,21apr23,Benzines,Benzine 95 RON E10 (€/L),1.779
apr23,21apr23,Benzines,Benzine 98 RON E5 (€/L),1.967
apr23,21apr23,Benzines,Benzine 98 RON E10 (€/L),1.953
apr23,21apr23,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.784
apr23,21apr23,Gasolie Diesel wegvervoer,Diesel B10 (€/L),1.768
apr23,21apr23,Gasolie Diesel wegvervoer,Diesel B20 (€/L),1.777
apr23,21apr23,Gasolie Diesel wegvervoer,Diesel B30 (€/L),1.804
apr23,21apr23,Gasolie Diesel wegvervoer,Diesel XTL (€/L),2.577
apr23,21apr23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),0.878
apr23,21apr23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),0.916
apr23,21apr23,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (vanaf 2000 l) (€/L),0.855
apr23,21apr23,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (minder dan 2000 l) (€/L),0.893
apr23,21apr23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (vanaf 2000 l) (€/L),0.883
apr23,21apr23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (minder dan 2000 l) (€/L),0.921
apr23,21apr23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (aan de pomp) (€/L),1.027
apr23,21apr23,Gasolie verwarming,Gasolie verwarming 50S (vanaf 2000 l) (€/L),0.871
apr23,21apr23,Gasolie verwarming,Gasolie verwarming 50S (minder dan 2000 l) (€/L),0.909
apr23,21apr23,Gasolie verwarming,Gasolie verwarming 50S (aan de pomp) (€/L),1.02
apr23,21apr23,Lamppetroleum,lamppetroleum (type B) (minder dan 2000 l) (€/L),0.974
apr23,21apr23,Lamppetroleum,lamppetroleum (type B) (vanaf 2000 l) (€/L),0.936
apr23,21apr23,Lamppetroleum,lamppetroleum (type B) (aan de pomp) (€/L),1.083
apr23,21apr23,Lamppetroleum,lamppetroleum (type C) (minder dan 2000 l) (€/L),1.009
apr23,21apr23,Lamppetroleum,lamppetroleum (type C) (vanaf 2000 l) (€/L),0.971
apr23,21apr23,Lamppetroleum,lamppetroleum (type C) (aan de pomp) (€/L),1.118
apr23,21apr23,Propaan,propaan (in bulk) (vanaf 2000 l) (€/L),0.742
apr23,21apr23,Propaan,propaan (in bulk) (minder dan 2000 l) (€/L),0.826
apr23,21apr23,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.684
apr23,21apr23,Butaan + LPG,Autogas LPG (minder dan 2000 l) (€/L),0.827
apr23,21apr23,Butaan + LPG,Autogas LPG (vanaf 2000 l) (€/L),0.743
apr23,21apr23,Stookolie,Extra zware stookolie met 1 % S (per tankwagen) (€/T),600.61
apr23,22apr23,Benzines,Benzine 95 RON E5 (€/L),1.81
apr23,22apr23,Benzines,Benzine 95 RON E10 (€/L),1.779
apr23,22apr23,Benzines,Benzine 98 RON E5 (€/L),1.967
apr23,22apr23,Benzines,Benzine 98 RON E10 (€/L),1.953
apr23,22apr23,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.784
apr23,22apr23,Gasolie Diesel wegvervoer,Diesel B10 (€/L),1.768
apr23,22apr23,Gasolie Diesel wegvervoer,Diesel B20 (€/L),1.777
apr23,22apr23,Gasolie Diesel wegvervoer,Diesel B30 (€/L),1.804
apr23,22apr23,Gasolie Diesel wegvervoer,Diesel XTL (€/L),2.577
apr23,22apr23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),0.853
apr23,22apr23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),0.89
