Jaar/Maand,Dag,Productgroep,Product,Prijs incl. BTW
mei22,13mei22,Benzines,Benzine 95 RON E5 (€/L),1.981
mei22,13mei22,Benzines,Benzine 95 RON E10 (€/L),1.933
mei22,13mei22,Benzines,Benzine 98 RON E5 (€/L),2.04
mei22,13mei22,Benzines,Benzine 98 RON E10 (€/L),2.001
mei22,13mei22,Gasolie Diesel wegvervoer,Diesel B7 (€/L),2.033
mei22,13mei22,Gasolie Diesel wegvervoer,Diesel B10 (€/L),2.008
mei22,13mei22,Gasolie Diesel wegvervoer,Diesel B20 (€/L),2.043
mei22,13mei22,Gasolie Diesel wegvervoer,Diesel B30 (€/L),2.132
mei22,13mei22,Gasolie Diesel wegvervoer,Diesel XTL (€/L),3.648
mei22,13mei22,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),1.267
mei22,13mei22,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),1.299
mei22,13mei22,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (vanaf 2000 l) (€/L),1.245
mei22,13mei22,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (minder dan 2000 l) (€/L),1.276
mei22,13mei22,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (vanaf 2000 l) (€/L),1.272
mei22,13mei22,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (minder dan 2000 l) (€/L),1.304
mei22,13mei22,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (aan de pomp) (€/L),1.405
mei22,13mei22,Gasolie verwarming,Gasolie verwarming 50S (vanaf 2000 l) (€/L),1.248
mei22,13mei22,Gasolie verwarming,Gasolie verwarming 50S (minder dan 2000 l) (€/L),1.28
mei22,13mei22,Gasolie verwarming,Gasolie verwarming 50S (aan de pomp) (€/L),1.386
mei22,13mei22,Lamppetroleum,lamppetroleum (type B) (minder dan 2000 l) (€/L),1.471
mei22,13mei22,Lamppetroleum,lamppetroleum (type B) (vanaf 2000 l) (€/L),1.439
mei22,13mei22,Lamppetroleum,lamppetroleum (type B) (aan de pomp) (€/L),1.574
mei22,13mei22,Lamppetroleum,lamppetroleum (type C) (minder dan 2000 l) (€/L),1.53
mei22,13mei22,Lamppetroleum,lamppetroleum (type C) (vanaf 2000 l) (€/L),1.498
mei22,13mei22,Lamppetroleum,lamppetroleum (type C) (aan de pomp) (€/L),1.633
mei22,13mei22,Propaan,propaan (in bulk) (vanaf 2000 l) (€/L),0.889
mei22,13mei22,Propaan,propaan (in bulk) (minder dan 2000 l) (€/L),0.964
mei22,13mei22,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.858
mei22,13mei22,Butaan + LPG,Autogas LPG (minder dan 2000 l) (€/L),0.989
mei22,13mei22,Butaan + LPG,Autogas LPG (vanaf 2000 l) (€/L),0.914
mei22,13mei22,Stookolie,Extra zware stookolie met 1 % S (per tankwagen) (€/T),754.18
mei22,14mei22,Benzines,Benzine 95 RON E5 (€/L),1.981
mei22,14mei22,Benzines,Benzine 95 RON E10 (€/L),1.933
mei22,14mei22,Benzines,Benzine 98 RON E5 (€/L),2.04
mei22,14mei22,Benzines,Benzine 98 RON E10 (€/L),2.001
mei22,14mei22,Gasolie Diesel wegvervoer,Diesel B7 (€/L),2.033
mei22,14mei22,Gasolie Diesel wegvervoer,Diesel B10 (€/L),2.008
mei22,14mei22,Gasolie Diesel wegvervoer,Diesel B20 (€/L),2.043
mei22,14mei22,Gasolie Diesel wegvervoer,Diesel B30 (€/L),2.132
mei22,14mei22,Gasolie Diesel wegvervoer,Diesel XTL (€/L),3.648
mei22,14mei22,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),1.235
mei22,14mei22,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),1.267
mei22,14mei22,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (vanaf 2000 l) (€/L),1.212
mei22,14mei22,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (minder dan 2000 l) (€/L),1.244
mei22,14mei22,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (vanaf 2000 l) (€/L),1.24
mei22,14mei22,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (minder dan 2000 l) (€/L),1.272
mei22,14mei22,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (aan de pomp) (€/L),1.373
mei22,14mei22,Gasolie verwarming,Gasolie verwarming 50S (vanaf 2000 l) (€/L),1.206
mei22,14mei22,Gasolie verwarming,Gasolie verwarming 50S (minder dan 2000 l) (€/L),1.237
mei22,14mei22,Gasolie verwarming,Gasolie verwarming 50S (aan de pomp) (€/L),1.343
mei22,14mei22,Lamppetroleum,lamppetroleum (type B) (minder dan 2000 l) (€/L),1.471
mei22,14mei22,Lamppetroleum,lamppetroleum (type B) (vanaf 2000 l) (€/L),1.439
mei22,14mei22,Lamppetroleum,lamppetroleum (type B) (aan de pomp) (€/L),1.574
mei22,14mei22,Lamppetroleum,lamppetroleum (type C) (minder dan 2000 l) (€/L),1.53
mei22,14mei22,Lamppetroleum,lamppetroleum (type C) (vanaf 2000 l) (€/L),1.498
mei22,14mei22,Lamppetroleum,lamppetroleum (type C) (aan de pomp) (€/L),1.633
mei22,14mei22,Propaan,propaan (in bulk) (vanaf 2000 l) (€/L),0.889
mei22,14mei22,Propaan,propaan (in bulk) (minder dan 2000 l) (€/L),0.964
mei22,14mei22,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.858
mei22,14mei22,Butaan + LPG,Autogas LPG (minder dan 2000 l) (€/L),0.989
mei22,14mei22,Butaan + LPG,Autogas LPG (vanaf 2000 l) (€/L),0.914
mei22,14mei22,Stookolie,Extra zware stookolie met 1 % S (per tankwagen) (€/T),808.89
mei22,15mei22,Benzines,Benzine 95 RON E5 (€/L),1.981
mei22,15mei22,Benzines,Benzine 95 RON E10 (€/L),1.933
mei22,15mei22,Benzines,Benzine 98 RON E5 (€/L),2.04
mei22,15mei22,Benzines,Benzine 98 RON E10 (€/L),2.001
mei22,15mei22,Gasolie Diesel wegvervoer,Diesel B7 (€/L),2.033
mei22,15mei22,Gasolie Diesel wegvervoer,Diesel B10 (€/L),2.008
mei22,15mei22,Gasolie Diesel wegvervoer,Diesel B20 (€/L),2.043
mei22,15mei22,Gasolie Diesel wegvervoer,Diesel B30 (€/L),2.132
mei22,15mei22,Gasolie Diesel wegvervoer,Diesel XTL (€/L),3.648
mei22,15mei22,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),1.235
mei22,15mei22,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),1.267
mei22,15mei22,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (vanaf 2000 l) (€/L),1.212
mei22,15mei22,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (minder dan 2000 l) (€/L),1.244
mei22,15mei22,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (vanaf 2000 l) (€/L),1.24
mei22,15mei22,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (minder dan 2000 l) (€/L),1.272
mei22,15mei22,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (aan de pomp) (€/L),1.373
mei22,15mei22,Gasolie verwarming,Gasolie verwarming 50S (vanaf 2000 l) (€/L),1.206
mei22,15mei22,Gasolie verwarming,Gasolie verwarming 50S (minder dan 2000 l) (€/L),1.237
mei22,15mei22,Gasolie verwarming,Gasolie verwarming 50S (aan de pomp) (€/L),1.343
mei22,15mei22,Lamppetroleum,lamppetroleum (type B) (minder dan 2000 l) (€/L),1.471
mei22,15mei22,Lamppetroleum,lamppetroleum (type B) (vanaf 2000 l) (€/L),1.439
mei22,15mei22,Lamppetroleum,lamppetroleum (type B) (aan de pomp) (€/L),1.574
mei22,15mei22,Lamppetroleum,lamppetroleum (type C) (minder dan 2000 l) (€/L),1.53
mei22,15mei22,Lamppetroleum,lamppetroleum (type C) (vanaf 2000 l) (€/L),1.498
mei22,15mei22,Lamppetroleum,lamppetroleum (type C) (aan de pomp) (€/L),1.633
mei22,15mei22,Propaan,propaan (in bulk) (vanaf 2000 l) (€/L),0.889
mei22,15mei22,Propaan,propaan (in bulk) (minder dan 2000 l) (€/L),0.964
mei22,15mei22,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.858
mei22,15mei22,Butaan + LPG,Autogas LPG (minder dan 2000 l) (€/L),0.989
mei22,15mei22,Butaan + LPG,Autogas LPG (vanaf 2000 l) (€/L),0.914
mei22,15mei22,Stookolie,Extra zware stookolie met 1 % S (per tankwagen) (€/T),808.89
mei22,16mei22,Benzines,Benzine 95 RON E5 (€/L),1.981
mei22,16mei22,Benzines,Benzine 95 RON E10 (€/L),1.933
mei22,16mei22,Benzines,Benzine 98 RON E5 (€/L),2.04
mei22,16mei22,Benzines,Benzine 98 RON E10 (€/L),2.001
mei22,16mei22,Gasolie Diesel wegvervoer,Diesel B7 (€/L),2.033
mei22,16mei22,Gasolie Diesel wegvervoer,Diesel B10 (€/L),2.008
mei22,16mei22,Gasolie Diesel wegvervoer,Diesel B20 (€/L),2.043
mei22,16mei22,Gasolie Diesel wegvervoer,Diesel B30 (€/L),2.132
mei22,16mei22,Gasolie Diesel wegvervoer,Diesel XTL (€/L),3.648
mei22,16mei22,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),1.235
mei22,16mei22,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),1.267
mei22,16mei22,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (vanaf 2000 l) (€/L),1.212
