Gebruikt product,Jaar,Maand,Hoeveelheid  product (BE)
Andere boter/Melkvetten,2022,April 2022,
Andere boter/Melkvetten,2022,Mei 2022,
Andere boter/Melkvetten,2022,Juni 2022,
Andere boter/Melkvetten,2022,Juli 2022,
Andere boter/Melkvetten,2022,Augustus 2022,
Andere boter/Melkvetten,2022,September 2022,
Andere boter/Melkvetten,2022,Oktober 2022,
Andere boter/Melkvetten,2022,November 2022,
Andere boter/Melkvetten,2022,December 2022,
Poeder van Room,2021,December 2021,
Poeder van Room,2022,Januari 2022,
Poeder van Room,2022,Februari 2022,
Poeder van Room,2022,Maart 2022,
Poeder van Room,2022,April 2022,
Poeder van Room,2022,Mei 2022,
Poeder van Room,2022,Juni 2022,
Poeder van Room,2022,Juli 2022,
Poeder van Room,2022,Augustus 2022,
Poeder van Room,2022,September 2022,
Poeder van Room,2022,Oktober 2022,
Poeder van Room,2022,November 2022,
Poeder van Room,2022,December 2022,
Poeder van volle melk,2021,December 2021,17415.0
Poeder van volle melk,2022,Januari 2022,18143.0
Poeder van volle melk,2022,Februari 2022,14542.0
Poeder van volle melk,2022,Maart 2022,20002.0
Poeder van volle melk,2022,April 2022,12188.0
Poeder van volle melk,2022,Mei 2022,14877.0
Poeder van volle melk,2022,Juni 2022,18300.0
Poeder van volle melk,2022,Juli 2022,12250.0
Poeder van volle melk,2022,Augustus 2022,12447.0
Poeder van volle melk,2022,September 2022,19481.0
Poeder van volle melk,2022,Oktober 2022,20665.0
Poeder van volle melk,2022,November 2022,16787.0
Poeder van volle melk,2022,December 2022,10025.0
Poeder van halfvolle melk - gedeeltel. afger. melk,2021,December 2021,
Poeder van halfvolle melk - gedeeltel. afger. melk,2022,Januari 2022,275.0
Poeder van halfvolle melk - gedeeltel. afger. melk,2022,Februari 2022,
Poeder van halfvolle melk - gedeeltel. afger. melk,2022,Maart 2022,195.0
Poeder van halfvolle melk - gedeeltel. afger. melk,2022,April 2022,
Poeder van halfvolle melk - gedeeltel. afger. melk,2022,Mei 2022,325.0
