Alle grootteklassen,Grootteklasse werknemers,Jaar,Maand,Aantal faillissementen
Alle grootteklassen,1000 werknemers en meer,2022,Juli 2022,
Alle grootteklassen,1000 werknemers en meer,2022,Augustus 2022,
Alle grootteklassen,1000 werknemers en meer,2022,September 2022,
Alle grootteklassen,1000 werknemers en meer,2022,Oktober 2022,
Alle grootteklassen,1000 werknemers en meer,2022,November 2022,
Alle grootteklassen,1000 werknemers en meer,2022,December 2022,
Alle grootteklassen,1000 werknemers en meer,2023,Januari 2023,1.0
Alle grootteklassen,1000 werknemers en meer,2023,Februari 2023,
Alle grootteklassen,1000 werknemers en meer,2023,Maart 2023,
Alle grootteklassen,,2022,Maart 2022,922.0
Alle grootteklassen,,2022,April 2022,620.0
Alle grootteklassen,,2022,Mei 2022,943.0
Alle grootteklassen,,2022,Juni 2022,1082.0
Alle grootteklassen,,2022,Juli 2022,528.0
Alle grootteklassen,,2022,Augustus 2022,325.0
Alle grootteklassen,,2022,September 2022,968.0
Alle grootteklassen,,2022,Oktober 2022,920.0
Alle grootteklassen,,2022,November 2022,774.0
Alle grootteklassen,,2022,December 2022,800.0
Alle grootteklassen,,2023,Januari 2023,799.0
Alle grootteklassen,,2023,Februari 2023,828.0
Alle grootteklassen,,2023,Maart 2023,917.0
