Jaar,Diersoort,Aantal slachtingen,Totaal slachtgewicht
2022,Runderen,755081,238137090
2022,Varkens,10520328,1032196554
2022,Schapen (totaal),96159,2116601
2022,Geiten,23733,397123
2022,Paarden totaal,1311,429871
2022,Gevogelte,298599511,449038554
