Totaal,Niveau 1,Jaar,Trimester,Maand,HICP-Indexcijfer
Totaal,1. Voeding en niet-alcoholische dranken,2022,2de kwartaal 2022,April 2022,113.964
Totaal,1. Voeding en niet-alcoholische dranken,2022,2de kwartaal 2022,Mei 2022,115.483
Totaal,1. Voeding en niet-alcoholische dranken,2022,2de kwartaal 2022,Juni 2022,117.529
Totaal,1. Voeding en niet-alcoholische dranken,2022,3de kwartaal 2022,Juli 2022,118.985
Totaal,1. Voeding en niet-alcoholische dranken,2022,3de kwartaal 2022,Augustus 2022,119.352
Totaal,1. Voeding en niet-alcoholische dranken,2022,3de kwartaal 2022,September 2022,120.046
Totaal,1. Voeding en niet-alcoholische dranken,2022,4de kwartaal 2022,Oktober 2022,122.239
Totaal,1. Voeding en niet-alcoholische dranken,2022,4de kwartaal 2022,November 2022,124.533
Totaal,1. Voeding en niet-alcoholische dranken,2022,4de kwartaal 2022,December 2022,125.689
Totaal,1. Voeding en niet-alcoholische dranken,2023,1ste kwartaal 2023,Januari 2023,130.257
Totaal,1. Voeding en niet-alcoholische dranken,2023,1ste kwartaal 2023,Februari 2023,132.649
Totaal,1. Voeding en niet-alcoholische dranken,2023,1ste kwartaal 2023,Maart 2023,135.759
Totaal,2. Alcoholische dranken en tabak,2022,2de kwartaal 2022,April 2022,134.052
Totaal,2. Alcoholische dranken en tabak,2022,2de kwartaal 2022,Mei 2022,135.714
Totaal,2. Alcoholische dranken en tabak,2022,2de kwartaal 2022,Juni 2022,137.402
Totaal,2. Alcoholische dranken en tabak,2022,3de kwartaal 2022,Juli 2022,138.81
Totaal,2. Alcoholische dranken en tabak,2022,3de kwartaal 2022,Augustus 2022,140.059
Totaal,2. Alcoholische dranken en tabak,2022,3de kwartaal 2022,September 2022,139.706
Totaal,2. Alcoholische dranken en tabak,2022,4de kwartaal 2022,Oktober 2022,140.73
Totaal,2. Alcoholische dranken en tabak,2022,4de kwartaal 2022,November 2022,141.492
Totaal,2. Alcoholische dranken en tabak,2022,4de kwartaal 2022,December 2022,141.177
Totaal,2. Alcoholische dranken en tabak,2023,1ste kwartaal 2023,Januari 2023,144.17
Totaal,2. Alcoholische dranken en tabak,2023,1ste kwartaal 2023,Februari 2023,144.245
Totaal,2. Alcoholische dranken en tabak,2023,1ste kwartaal 2023,Maart 2023,144.521
Totaal,3. Kleding en schoeisel,2022,2de kwartaal 2022,April 2022,106.511
Totaal,3. Kleding en schoeisel,2022,2de kwartaal 2022,Mei 2022,105.997
Totaal,3. Kleding en schoeisel,2022,2de kwartaal 2022,Juni 2022,105.157
Totaal,3. Kleding en schoeisel,2022,3de kwartaal 2022,Juli 2022,85.049
Totaal,3. Kleding en schoeisel,2022,3de kwartaal 2022,Augustus 2022,106.565
Totaal,3. Kleding en schoeisel,2022,3de kwartaal 2022,September 2022,110.026
Totaal,3. Kleding en schoeisel,2022,4de kwartaal 2022,Oktober 2022,111.553
Totaal,3. Kleding en schoeisel,2022,4de kwartaal 2022,November 2022,113.676
Totaal,3. Kleding en schoeisel,2022,4de kwartaal 2022,December 2022,114.646
Totaal,3. Kleding en schoeisel,2023,1ste kwartaal 2023,Januari 2023,93.843
Totaal,3. Kleding en schoeisel,2023,1ste kwartaal 2023,Februari 2023,113.268
Totaal,3. Kleding en schoeisel,2023,1ste kwartaal 2023,Maart 2023,114.59
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,2de kwartaal 2022,April 2022,148.156
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,2de kwartaal 2022,Mei 2022,150.529
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,2de kwartaal 2022,Juni 2022,151.613
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,3de kwartaal 2022,Juli 2022,151.177
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,3de kwartaal 2022,Augustus 2022,155.371
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,3de kwartaal 2022,September 2022,165.947
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,4de kwartaal 2022,Oktober 2022,180.988
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,4de kwartaal 2022,November 2022,168.276
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,4de kwartaal 2022,December 2022,163.374
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2023,1ste kwartaal 2023,Januari 2023,150.597
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2023,1ste kwartaal 2023,Februari 2023,136.715
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2023,1ste kwartaal 2023,Maart 2023,134.525
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2022,2de kwartaal 2022,April 2022,108.797
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2022,2de kwartaal 2022,Mei 2022,109.115
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2022,2de kwartaal 2022,Juni 2022,110.039
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2022,3de kwartaal 2022,Juli 2022,108.961
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2022,3de kwartaal 2022,Augustus 2022,110.981
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2022,3de kwartaal 2022,September 2022,111.39
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2022,4de kwartaal 2022,Oktober 2022,112.081
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2022,4de kwartaal 2022,November 2022,112.533
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2022,4de kwartaal 2022,December 2022,114.134
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2023,1ste kwartaal 2023,Januari 2023,113.201
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2023,1ste kwartaal 2023,Februari 2023,115.407
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2023,1ste kwartaal 2023,Maart 2023,115.831
Totaal,6. Gezondheid,2022,2de kwartaal 2022,April 2022,107.172
Totaal,6. Gezondheid,2022,2de kwartaal 2022,Mei 2022,107.251
Totaal,6. Gezondheid,2022,2de kwartaal 2022,Juni 2022,107.486
Totaal,6. Gezondheid,2022,3de kwartaal 2022,Juli 2022,107.692
Totaal,6. Gezondheid,2022,3de kwartaal 2022,Augustus 2022,107.935
Totaal,6. Gezondheid,2022,3de kwartaal 2022,September 2022,108.08
Totaal,6. Gezondheid,2022,4de kwartaal 2022,Oktober 2022,108.298
Totaal,6. Gezondheid,2022,4de kwartaal 2022,November 2022,108.454
Totaal,6. Gezondheid,2022,4de kwartaal 2022,December 2022,108.576
Totaal,6. Gezondheid,2023,1ste kwartaal 2023,Januari 2023,111.638
Totaal,6. Gezondheid,2023,1ste kwartaal 2023,Februari 2023,112.008
Totaal,6. Gezondheid,2023,1ste kwartaal 2023,Maart 2023,112.223
Totaal,7. Vervoer,2022,2de kwartaal 2022,April 2022,126.447
Totaal,7. Vervoer,2022,2de kwartaal 2022,Mei 2022,128.655
Totaal,7. Vervoer,2022,2de kwartaal 2022,Juni 2022,132.213
Totaal,7. Vervoer,2022,3de kwartaal 2022,Juli 2022,131.838
Totaal,7. Vervoer,2022,3de kwartaal 2022,Augustus 2022,129.641
Totaal,7. Vervoer,2022,3de kwartaal 2022,September 2022,128.574
Totaal,7. Vervoer,2022,4de kwartaal 2022,Oktober 2022,131.676
Totaal,7. Vervoer,2022,4de kwartaal 2022,November 2022,132.051
Totaal,7. Vervoer,2022,4de kwartaal 2022,December 2022,127.795
Totaal,7. Vervoer,2023,1ste kwartaal 2023,Januari 2023,128.292
Totaal,7. Vervoer,2023,1ste kwartaal 2023,Februari 2023,129.762
Totaal,7. Vervoer,2023,1ste kwartaal 2023,Maart 2023,130.066
Totaal,8. Communicatie,2022,2de kwartaal 2022,April 2022,106.288
Totaal,8. Communicatie,2022,2de kwartaal 2022,Mei 2022,106.515
Totaal,8. Communicatie,2022,2de kwartaal 2022,Juni 2022,108.166
Totaal,8. Communicatie,2022,3de kwartaal 2022,Juli 2022,108.272
Totaal,8. Communicatie,2022,3de kwartaal 2022,Augustus 2022,108.395
Totaal,8. Communicatie,2022,3de kwartaal 2022,September 2022,108.409
Totaal,8. Communicatie,2022,4de kwartaal 2022,Oktober 2022,107.51
Totaal,8. Communicatie,2022,4de kwartaal 2022,November 2022,107.331
Totaal,8. Communicatie,2022,4de kwartaal 2022,December 2022,106.766
Totaal,8. Communicatie,2023,1ste kwartaal 2023,Januari 2023,109.943
Totaal,8. Communicatie,2023,1ste kwartaal 2023,Februari 2023,110.302
Totaal,8. Communicatie,2023,1ste kwartaal 2023,Maart 2023,109.524
Totaal,9. Recreatie en cultuur,2022,2de kwartaal 2022,April 2022,111.136
Totaal,9. Recreatie en cultuur,2022,2de kwartaal 2022,Mei 2022,111.71
Totaal,9. Recreatie en cultuur,2022,2de kwartaal 2022,Juni 2022,112.204
Totaal,9. Recreatie en cultuur,2022,3de kwartaal 2022,Juli 2022,112.484
Totaal,9. Recreatie en cultuur,2022,3de kwartaal 2022,Augustus 2022,112.862
Totaal,9. Recreatie en cultuur,2022,3de kwartaal 2022,September 2022,112.789
Totaal,9. Recreatie en cultuur,2022,4de kwartaal 2022,Oktober 2022,113.867
Totaal,9. Recreatie en cultuur,2022,4de kwartaal 2022,November 2022,113.635
Totaal,9. Recreatie en cultuur,2022,4de kwartaal 2022,December 2022,116.596
Totaal,9. Recreatie en cultuur,2023,1ste kwartaal 2023,Januari 2023,115.425
Totaal,9. Recreatie en cultuur,2023,1ste kwartaal 2023,Februari 2023,118.075
Totaal,9. Recreatie en cultuur,2023,1ste kwartaal 2023,Maart 2023,117.264
Totaal,10. Onderwijs,2022,2de kwartaal 2022,April 2022,127.565
Totaal,10. Onderwijs,2022,2de kwartaal 2022,Mei 2022,127.565
Totaal,10. Onderwijs,2022,2de kwartaal 2022,Juni 2022,127.565
Totaal,10. Onderwijs,2022,3de kwartaal 2022,Juli 2022,127.565
Totaal,10. Onderwijs,2022,3de kwartaal 2022,Augustus 2022,127.565
Totaal,10. Onderwijs,2022,3de kwartaal 2022,September 2022,127.565
Totaal,10. Onderwijs,2022,4de kwartaal 2022,Oktober 2022,129.567
Totaal,10. Onderwijs,2022,4de kwartaal 2022,November 2022,129.567
Totaal,10. Onderwijs,2022,4de kwartaal 2022,December 2022,129.567
Totaal,10. Onderwijs,2023,1ste kwartaal 2023,Januari 2023,129.567
Totaal,10. Onderwijs,2023,1ste kwartaal 2023,Februari 2023,129.567
Totaal,10. Onderwijs,2023,1ste kwartaal 2023,Maart 2023,129.567
Totaal,"11. Hotels, restaurants en cafés",2022,2de kwartaal 2022,April 2022,121.607
Totaal,"11. Hotels, restaurants en cafés",2022,2de kwartaal 2022,Mei 2022,121.011
Totaal,"11. Hotels, restaurants en cafés",2022,2de kwartaal 2022,Juni 2022,121.259
Totaal,"11. Hotels, restaurants en cafés",2022,3de kwartaal 2022,Juli 2022,125.348
Totaal,"11. Hotels, restaurants en cafés",2022,3de kwartaal 2022,Augustus 2022,125.765
Totaal,"11. Hotels, restaurants en cafés",2022,3de kwartaal 2022,September 2022,122.678
Totaal,"11. Hotels, restaurants en cafés",2022,4de kwartaal 2022,Oktober 2022,124.385
Totaal,"11. Hotels, restaurants en cafés",2022,4de kwartaal 2022,November 2022,123.848
Totaal,"11. Hotels, restaurants en cafés",2022,4de kwartaal 2022,December 2022,126.718
Totaal,"11. Hotels, restaurants en cafés",2023,1ste kwartaal 2023,Januari 2023,126.384
Totaal,"11. Hotels, restaurants en cafés",2023,1ste kwartaal 2023,Februari 2023,128.291
Totaal,"11. Hotels, restaurants en cafés",2023,1ste kwartaal 2023,Maart 2023,127.984
Totaal,12. Diverse goederen en diensten,2022,2de kwartaal 2022,April 2022,113.378
Totaal,12. Diverse goederen en diensten,2022,2de kwartaal 2022,Mei 2022,113.837
Totaal,12. Diverse goederen en diensten,2022,2de kwartaal 2022,Juni 2022,114.406
Totaal,12. Diverse goederen en diensten,2022,3de kwartaal 2022,Juli 2022,114.93
Totaal,12. Diverse goederen en diensten,2022,3de kwartaal 2022,Augustus 2022,115.49
Totaal,12. Diverse goederen en diensten,2022,3de kwartaal 2022,September 2022,115.745
Totaal,12. Diverse goederen en diensten,2022,4de kwartaal 2022,Oktober 2022,116.144
Totaal,12. Diverse goederen en diensten,2022,4de kwartaal 2022,November 2022,116.721
Totaal,12. Diverse goederen en diensten,2022,4de kwartaal 2022,December 2022,117.247
Totaal,12. Diverse goederen en diensten,2023,1ste kwartaal 2023,Januari 2023,119.957
Totaal,12. Diverse goederen en diensten,2023,1ste kwartaal 2023,Februari 2023,120.452
Totaal,12. Diverse goederen en diensten,2023,1ste kwartaal 2023,Maart 2023,120.849
Totaal,,2022,2de kwartaal 2022,April 2022,120.612
Totaal,,2022,2de kwartaal 2022,Mei 2022,121.611
Totaal,,2022,2de kwartaal 2022,Juni 2022,122.822
Totaal,,2022,3de kwartaal 2022,Juli 2022,122.032
Totaal,,2022,3de kwartaal 2022,Augustus 2022,124.24
Totaal,,2022,3de kwartaal 2022,September 2022,125.899
Totaal,,2022,4de kwartaal 2022,Oktober 2022,129.303
Totaal,,2022,4de kwartaal 2022,November 2022,128.066
Totaal,,2022,4de kwartaal 2022,December 2022,127.766
Totaal,,2023,1ste kwartaal 2023,Januari 2023,125.664
Totaal,,2023,1ste kwartaal 2023,Februari 2023,125.992
Totaal,,2023,1ste kwartaal 2023,Maart 2023,126.226
