Alle economische activiteiten,Sectie,Jaar,Maand,Verlies van fulltime banen,Verlies van parttime banen,Banenverlies van loontrekkende werkgevers,Totaal banenverlies
Alle economische activiteiten,J Informatie en communicatie,2022,Augustus 2022,1.0,0.0,18.0,19.0
Alle economische activiteiten,J Informatie en communicatie,2022,September 2022,64.0,6.0,33.0,103.0
Alle economische activiteiten,J Informatie en communicatie,2022,Oktober 2022,29.0,3.0,34.0,66.0
Alle economische activiteiten,J Informatie en communicatie,2022,November 2022,20.0,24.0,37.0,81.0
Alle economische activiteiten,J Informatie en communicatie,2022,December 2022,26.0,4.0,22.0,52.0
Alle economische activiteiten,J Informatie en communicatie,2023,Januari 2023,9.0,4.0,22.0,35.0
Alle economische activiteiten,J Informatie en communicatie,2023,Februari 2023,5.0,0.0,24.0,29.0
Alle economische activiteiten,J Informatie en communicatie,2023,Maart 2023,17.0,1.0,27.0,45.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2022,Maart 2022,1.0,0.0,8.0,9.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2022,April 2022,0.0,0.0,4.0,4.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2022,Mei 2022,0.0,2.0,8.0,10.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2022,Juni 2022,0.0,2.0,14.0,16.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2022,Juli 2022,4.0,0.0,4.0,8.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2022,Augustus 2022,1.0,0.0,4.0,5.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2022,September 2022,34.0,9.0,7.0,50.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2022,Oktober 2022,1.0,0.0,5.0,6.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2022,November 2022,2.0,2.0,2.0,6.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2022,December 2022,4.0,0.0,7.0,11.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2023,Januari 2023,1.0,3.0,5.0,9.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2023,Februari 2023,1.0,3.0,2.0,6.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2023,Maart 2023,0.0,1.0,7.0,8.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2022,Maart 2022,17.0,28.0,31.0,76.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2022,April 2022,1.0,2.0,10.0,13.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2022,Mei 2022,3.0,0.0,14.0,17.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2022,Juni 2022,37.0,8.0,18.0,63.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2022,Juli 2022,6.0,3.0,13.0,22.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2022,Augustus 2022,0.0,0.0,5.0,5.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2022,September 2022,1.0,1.0,18.0,20.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2022,Oktober 2022,3.0,0.0,21.0,24.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2022,November 2022,6.0,0.0,12.0,18.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2022,December 2022,1.0,3.0,21.0,25.0
