NACE-groepen,Referentiemaand,Bruto-index,Tendens van de index
Totaal detailhandel met uitzondering van de brandstoffen,December 2022,145.121,121.964
Totaal detailhandel met uitzondering van de brandstoffen,Januari 2023,119.207,122.239
Totaal detailhandel met uitzondering van de brandstoffen,Februari 2023,108.962,122.589
Totaal detailhandel met uitzondering van de brandstoffen,Maart 2023,123.527,122.937
Detailhandel in niet-gespecialiseerde winkels waarbij voedings- en genotmiddelen overheersen,December 2022,136.824,115.812
Detailhandel in niet-gespecialiseerde winkels waarbij voedings- en genotmiddelen overheersen,Januari 2023,112.718,116.529
Detailhandel in niet-gespecialiseerde winkels waarbij voedings- en genotmiddelen overheersen,Februari 2023,107.949,117.135
Detailhandel in niet-gespecialiseerde winkels waarbij voedings- en genotmiddelen overheersen,Maart 2023,121.177,117.508
Overige detailhandel in niet-gespecialiseerde winkels,December 2022,172.418,129.153
Overige detailhandel in niet-gespecialiseerde winkels,Januari 2023,124.391,129.94
Overige detailhandel in niet-gespecialiseerde winkels,Februari 2023,114.783,130.728
Overige detailhandel in niet-gespecialiseerde winkels,Maart 2023,123.664,131.515
Detailhandel in niet-gespecialiseerde winkels,December 2022,139.126,116.007
Detailhandel in niet-gespecialiseerde winkels,Januari 2023,113.329,116.522
Detailhandel in niet-gespecialiseerde winkels,Februari 2023,108.214,116.987
Detailhandel in niet-gespecialiseerde winkels,Maart 2023,121.045,117.307
Voedingsmiddelen in gespecialiseerde winkels,December 2022,138.675,111.95
Voedingsmiddelen in gespecialiseerde winkels,Januari 2023,99.747,112.271
Voedingsmiddelen in gespecialiseerde winkels,Februari 2023,97.506,113.077
Voedingsmiddelen in gespecialiseerde winkels,Maart 2023,115.108,113.714
Motorbrandstoffen in gespecialiseerde winkels,December 2022,135.701,132.252
Motorbrandstoffen in gespecialiseerde winkels,Januari 2023,120.455,131.553
Motorbrandstoffen in gespecialiseerde winkels,Februari 2023,123.546,130.745
Motorbrandstoffen in gespecialiseerde winkels,Maart 2023,130.929,130.048
"Voedingsmiddelen, dranken en tabak",December 2022,137.09,115.326
"Voedingsmiddelen, dranken en tabak",Januari 2023,110.74,115.95
"Voedingsmiddelen, dranken en tabak",Februari 2023,106.448,116.532
"Voedingsmiddelen, dranken en tabak",Maart 2023,120.264,116.943
Detailhandel in niet-voedingswaren (exclusief motorbrandstoffen),December 2022,150.816,126.508
Detailhandel in niet-voedingswaren (exclusief motorbrandstoffen),Januari 2023,125.196,126.57
Detailhandel in niet-voedingswaren (exclusief motorbrandstoffen),Februari 2023,110.57,126.764
Detailhandel in niet-voedingswaren (exclusief motorbrandstoffen),Maart 2023,125.859,127.051
ICT-apparatuur in gespecialiseerde winkels,December 2022,140.765,106.058
ICT-apparatuur in gespecialiseerde winkels,Januari 2023,118.208,106.082
ICT-apparatuur in gespecialiseerde winkels,Februari 2023,94.624,106.57
ICT-apparatuur in gespecialiseerde winkels,Maart 2023,111.543,107.069
Andere consumentenartikelen in gespecialiseerde winkels,December 2022,140.182,127.905
Andere consumentenartikelen in gespecialiseerde winkels,Januari 2023,125.433,127.74
Andere consumentenartikelen in gespecialiseerde winkels,Februari 2023,114.803,127.755
Andere consumentenartikelen in gespecialiseerde winkels,Maart 2023,130.016,127.799
Cultuur- en recreatieartikelen in gespecialiseerde winkels,December 2022,151.277,114.35
Cultuur- en recreatieartikelen in gespecialiseerde winkels,Januari 2023,102.032,114.08
Cultuur- en recreatieartikelen in gespecialiseerde winkels,Februari 2023,95.624,113.893
Cultuur- en recreatieartikelen in gespecialiseerde winkels,Maart 2023,102.715,113.765
Detailhandel in andere artikelen in gespecialiseerde winkels,December 2022,143.741,114.563
Detailhandel in andere artikelen in gespecialiseerde winkels,Januari 2023,117.421,114.593
Detailhandel in andere artikelen in gespecialiseerde winkels,Februari 2023,103.396,114.609
Detailhandel in andere artikelen in gespecialiseerde winkels,Maart 2023,117.707,114.617
