NACE-groepen,Referentiemaand,Bruto-index,Tendens van de index
Markt- en straathandel,December 2022,155.96,147.198
Markt- en straathandel,Januari 2023,155.193,156.352
Markt- en straathandel,Februari 2023,132.231,153.648
Markt- en straathandel,Maart 2023,140.147,141.532
Detailhandel via postorderbedrijven of via internet,December 2022,253.464,221.807
Detailhandel via postorderbedrijven of via internet,Januari 2023,233.874,222.108
Detailhandel via postorderbedrijven of via internet,Februari 2023,191.787,222.883
Detailhandel via postorderbedrijven of via internet,Maart 2023,229.881,224.229
"Detailhandel, niet in winkels en exclusief markt-en straathandel",December 2022,227.416,197.378
"Detailhandel, niet in winkels en exclusief markt-en straathandel",Januari 2023,203.452,197.341
"Detailhandel, niet in winkels en exclusief markt-en straathandel",Februari 2023,170.959,197.624
"Detailhandel, niet in winkels en exclusief markt-en straathandel",Maart 2023,204.461,198.437
"Textiel, kleding, schoeisel en lederwaren in gespecialiseerde winkels",December 2022,129.976,107.012
"Textiel, kleding, schoeisel en lederwaren in gespecialiseerde winkels",Januari 2023,114.896,107.224
"Textiel, kleding, schoeisel en lederwaren in gespecialiseerde winkels",Februari 2023,79.236,107.406
"Textiel, kleding, schoeisel en lederwaren in gespecialiseerde winkels",Maart 2023,96.608,107.592
Farmaceutische producten/ medische en orthopedische artikelen/ parfumerie en schoonheidsproducten in gespecialiseerde winkels,December 2022,146.921,119.253
Farmaceutische producten/ medische en orthopedische artikelen/ parfumerie en schoonheidsproducten in gespecialiseerde winkels,Januari 2023,119.376,119.617
Farmaceutische producten/ medische en orthopedische artikelen/ parfumerie en schoonheidsproducten in gespecialiseerde winkels,Februari 2023,115.021,119.941
Farmaceutische producten/ medische en orthopedische artikelen/ parfumerie en schoonheidsproducten in gespecialiseerde winkels,Maart 2023,124.943,120.237
