Totaal,Bijzonder aggregaties,Jaar,Trimester,Maand,Inflatie (HICP)
Totaal,,2022,2de kwartaal 2022,Mei 2022,0.099
Totaal,,2022,2de kwartaal 2022,Juni 2022,0.105
Totaal,,2022,3de kwartaal 2022,Juli 2022,0.104
Totaal,,2022,3de kwartaal 2022,Augustus 2022,0.105
Totaal,,2022,3de kwartaal 2022,September 2022,0.121
Totaal,,2022,4de kwartaal 2022,Oktober 2022,0.131
Totaal,,2022,4de kwartaal 2022,November 2022,0.105
Totaal,,2022,4de kwartaal 2022,December 2022,0.102
Totaal,,2023,1ste kwartaal 2023,Januari 2023,0.074
Totaal,,2023,1ste kwartaal 2023,Februari 2023,0.054
Totaal,,2023,1ste kwartaal 2023,Maart 2023,0.049
